Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Gerocultor-auxiliar de enfermería.,Barcelona - Cataluña - España,04/04/2025,"18,000 - 50,000",Enseñanzas universitarias de grado,18.000-50.000,18,50,34,SI,Cataluña
Camarero-a 40 horas a la semana - club la santa - lanzarote,Madrid - España,04/04/2025,"22,000 - 24,000",Enseñanzas universitarias de grado,22.000-24.000,22,24,23,SI,Madrid
"Mecánico-a 1ª, 2ª o 3ª maquinaria - porriño (vigo)",Cadiz - Andalucia - España,04/04/2025,21.000 - 22.000 Programas para la formación e inserción…,NA,21000-22000,21000,22000,22,SI,NA
Moza de almacén,Huelva - Andalucia - España,04/04/2025,7.200 - 8.400,Enseñanzas de bachillerato,7200-8400,7200,8400,8,SI,NA
Gerocultores para residencia de mayores,Zaragoza - Aragon - España,04/04/2025,18.000 - 22.300,Nivel de estudios desconocido,18000-22300,18000,22300,20,SI,NA
Buscamos barbero(x) en cee,Caceres - Extremadura - España,04/04/2025,18.000 - 22.300,Nivel de estudios desconocido,18000-22300,18000,22300,20,SI,Extremadura
Mecanico vehiculos industriales,Caceres - Extremadura - España,04/04/2025,18.000 - 22.300,Nivel de estudios desconocido,18000-22300,18000,22300,20,SI,Extremadura
Ayudante camarero-a 40 horas a la semana - club la santa - lanzarote,Murcia - España,04/04/2025,18.000 - 22.300,Nivel de estudios desconocido,18000-22300,18000,22300,20,SI,Murcia
Tecnico informatico-audiovisual-redes,Barcelona - Cataluña - España,04/04/2025,"18,000 - 50,000",Enseñanzas universitarias de grado,18.000-50.000,18,50,34,SI,Cataluña
"Gerente de ventas, representante de ventas",Barcelona - Cataluña - España,04/04/2025,"18,000 - 50,000",Enseñanzas universitarias de grado,18.000-50.000,18,50,34,SI,Cataluña
Pintor de coches,Murcia - España,04/04/2025,16.576 - 16.576,Enseñanzas universitarias de grado,16576-16576,16576,16576,17,SI,Murcia
Mozo de almacén,Malaga - Andalucia - España,04/04/2025,1.300 - 1.800,Estudios primarios completos,1300-1800,1300,1800,19,SI,NA
Oficial albañil,A Coruña - Galicia - España,04/04/2025,"24,019 - 24,019",Enseñanzas universitarias oficiales de…,24.019-24.019,24,24,24,SI,Galicia
Gerocultora,Madrid - España,04/04/2025,17.000 - 18.000,Enseñanzas para la formación e…,17000-18000,17000,18000,18,SI,Madrid
Vendedor-a tienda leroy merlín - maquinaria pequeña (barajas),Zaragoza - Aragon - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico eléctrico,Huesca - Aragon - España,04/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Mecanico,Asturias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Enfermero-a due con discapacidad - oliana,Asturias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Medico,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Enfermer@,España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ayudante de camarero-a 20 horas a la semana - club la santa - lanzarote,España,04/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,NA
Cuidadores-as profesionales para personas con discapacidad,España,04/04/2025,36.000 - 39.000,Doctorado universitario.,36000-39000,36000,39000,38,SI,NA
Operaria-o de cadena de montaje,Valencia - Comunidad Valenciana - España,04/04/2025,10.000 - 13.999 Primera etapa de educación secundaria…,NA,10000-13999,10000,13999,12,SI,Comunidad Valenciana
Técnico aplicador legionella-control de plagas,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Programa comercial recien titulados para futuros delegados,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,NA
"Pintor industrial - recubrimiento en polvo, alemania",Girona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Dependiente en tienda de electrodomésticos,Barcelona - Cataluña - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluña
Docente medioambiente,Asturias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Técnico electrónico junior para línea de montaje smt,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
"Operario-a soldador-a tig, mig",A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Mozo-a almacén,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Albañiles oficiales 1ª categoría,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia
Conductores para suministro a tiendas y supermercados,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Soldador de mig-mag y tig, alemania",A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia
Tecnico auxiliar de presupuestos tecnicos-ofertas,A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia
Peon de obra palma de mallorca,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Auxiliar de enfermería - gerocultor-a con discapacidad - oliana,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,NA
Auxiliar administrativo,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Programa desarrollo comercial futuros delegados málaga,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Mecánico-a 1ª, 2ª o 3ª maquinaria - ciempozuelos",Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia
Pintor de coches,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Necesario médico en valdestillas,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Peón albañil,Asturias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Técnico en control de plagas y legionella,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Comunidad Valenciana
Se buscan monitores-as escolares,Sevilla - Andalucia - España,04/04/2025,24.000 - 29.999 Primera etapa de educación secundaria…,NA,24000-29999,24000,29999,27,SI,NA
Personal multiservicios,Lleida - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Monitor-a para personas con discapacidad,Alicante - Comunidad Valenciana - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Comunidad Valenciana
"Personal de limpieza en locales y oficinas, patios y cristales. en madrid y extrarradio ( alcorcon,…",Alicante - Comunidad Valenciana - España,04/04/2025,Sin especificar,Enseñanzas de bachillerato,,NA,NA,NA,SI,Comunidad Valenciana
"Editor video, con inglés y dominio de internet",A Coruña - Galicia - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Galicia
Early childhood educators for nurseries in ireland,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Chef en dubai,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Tecnico superior en estetica o auxiliar medicina estetica,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Montador de conductos en valladolid,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Carpintero de madera,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Auxiliar administrativos,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Dependiente dependienta camarer@ horno de pan con degustación,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Técnico laboral para asesoría,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Montador de conductos en león,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Monitores de educación y tiempo libre,A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia
Auxiliar de limpieza. ref. sxsdl.,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Conductores-operadores de maquinaria forestal con motor, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Informático-a,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Técnicos de información turística,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Teleoperadores,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Analista programador-a abap, 100% en remoto",España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Agentes de seguros,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Instaladores-ajustadores de instalaciones de refrigeración y aire acondicionado,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Enfermeros de cuidados generales,Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia
Empleados de centros de recreo,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Dependientes de artículos de ferretería,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Terapeutas ocupacionales,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Mecánicos-ajustadores del automóvil, en general (turismos y furgonetas)",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Técnicos administrativos, en general",A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia
Vigilantes de seguridad,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Asistentes domiciliarios,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Azafata-o estanco vilanova i la geltru 2100€,Barcelona - Cataluña - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluña
"Técnicos administrativos, en general",A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia
Taquilleros,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Logopedas,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Educadores de menores,Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia
Conductor de tractor con remolque,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Camarero-a centro hospitalario,Madrid - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Madrid
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Camareros, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Fisioterapeutas, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Camareros, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Ayudante-a de cocina,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Turno mañana captador-a cruz roja 1.100€,Madrid - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Madrid
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Camareros, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Técnicos en control de calidad en industrias alimentarias,Lugo - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia
"Mecánicos-ajustadores de camiones y autobuses, en general",Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Enfermeros de cuidados generales,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia
Agentes comerciales,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Administrativo-a,Caceres - Extremadura - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Extremadura
Administrativo-a,Granada - Andalucia - España,04/04/2025,1.950,Enseñanzas de grado superior de…,1950,1950,NA,23,SI,NA
Repartidor-a de pizzas zona santander,Cantabria - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cantabria
Repartidor-a de pizzas zona burgos,Burgos - Castilla Leon - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,NA
Carpintero metálico oficial 1ª con al menos 4 años de experiencia,Caceres - Extremadura - España,04/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,Extremadura
Logopeda centro atención temprana reinosa,Madrid - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Monitor-a de suport a les preses. ref. smntr,Girona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Gpp&w - jefe-a de partida restaurante,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
Técnico en área laboral de asesoría de empresas,Badajoz - Extremadura - España,04/04/2025,Sin especificar,Programas de formación e inserción…,,NA,NA,NA,SI,Extremadura
Auxiliar de limpieza. ref. sxsdl,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Marmolistas de la construcción,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Captador-a socios save the children 4 h mañana,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,NA
Monitor-a de suport a les preses. ref. smntr,Girona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Soporte técnico-a (santander),Cantabria - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cantabria
Oferta pública: gerocultor-a en residencia de ancianos,Cadiz - Andalucia - España,04/04/2025,1.349,Enseñanzas universitarias de primer…,1349,1349,NA,16,SI,NA
Oferta publica: conductor - operador de retroexcavadora (movimiento de tierras),Cadiz - Andalucia - España,04/04/2025,1.400,Enseñanzas universitarias de primer…,1400,1400,NA,17,SI,NA
Auxiliar de enfermería,Malaga - Andalucia - España,04/04/2025,1.183,Otros tipos de formación,1183,1183,NA,14,SI,NA
Personal funcionario interino cuerpo ingeniero tecnico industrial a2.2004,Cadiz - Andalucia - España,04/04/2025,2.098,Enseñanzas universitarias de 1 er y 2º…,2098,2098,NA,25,SI,NA
Oferta pública: auxiliar de protección civil,Cadiz - Andalucia - España,04/04/2025,605,Enseñanzas universitarias de primer…,605,605,NA,7,SI,NA
Conductor-a camión con carnet tipo c,Caceres - Extremadura - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Auxiliar de tienda para badalona. barcelona,Barcelona - Cataluña - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluña
Empleado-a administrativo-a,Badajoz - Extremadura - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Extremadura
Gpp&w - 2º jefe-a de mantenimiento (maintenance organizer),Illes Balears - Baleares - España,04/04/2025,Sin especificar,Enseñanzas universitarias de primer…,,NA,NA,NA,SI,Baleares
Cocinero en logrosan.,Caceres - Extremadura - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Repartidor-a de pizzas zona valladolid,Valladolid - Castilla Leon - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,NA
Monitor-a comedor escolar. ref smntr,Valencia - Comunidad Valenciana - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Comunidad Valenciana
Profesor-a -a de autoescuela,Tarragona - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Asistentes domiciliarios,Las Palmas - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Pintores y-o empapeladores,Las Palmas - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Palista,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra
Educador-a social jubiloteca,Navarra,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,NO,Navarra
Montadores de andamios,Sta.cruz de Tenerife - Canarias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Oferta pública: medico de recursos avanzados de cuidados paliativos,Granada - Andalucia - España,04/04/2025,3.600,Enseñanzas universitarias de primer…,3600,3600,NA,43,SI,NA
Oferta pública: médico de familia (sccu).,Granada - Andalucia - España,04/04/2025,3.419,Enseñanzas universitarias de 1 er y 2º…,3419,3419,NA,41,SI,NA
Oferta pública: redactor-a,Cadiz - Andalucia - España,04/04/2025,3.173,Enseñanzas universitarias de primer…,3173,3173,NA,38,SI,NA
Jefe-a de partida - palladium hotel menorca,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
Oferta privada: farmaceutico-a hospitalario-a,Cadiz - Andalucia - España,04/04/2025,4.166,Estudios oficiales de especialización…,4166,4166,NA,50,SI,NA
Oferta privada: personal limpieza viviendas uso turistico,Cadiz - Andalucia - España,04/04/2025,579,Enseñanzas universitarias de grado,579,579,NA,7,SI,NA
"It helpdesk technician, málaga",Malaga - Andalucia - España,04/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,NA
"Oferta privada: enfermero-a de cuidados generales-due, para residencia de personas mayores",Malaga - Andalucia - España,04/04/2025,900,Enseñanzas universitarias oficiales de…,900,900,NA,11,SI,NA
Oferta pública: gerocultor-a en residencia de ancianos,Cadiz - Andalucia - España,04/04/2025,1.349,Enseñanzas universitarias de primer…,1349,1349,NA,16,SI,NA
Oferta pública: cocinero-a para sustitución en residencia,Cadiz - Andalucia - España,04/04/2025,1.291,Enseñanzas universitarias de primer…,1291,1291,NA,15,SI,NA
"Qa funcionales certificación istqb. híbrido, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Consultores senior calypso banca inglés híbrido, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Gpp&w - cocinero-a,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
Monitor-a de suport a torrefarrera. ref. smntr,Lleida - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Gpp&w - técnico-a de mantenimiento,Illes Balears - Baleares - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
Cocinero,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra
Soldador-a - carpintero-a metálico,Navarra - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra
Dirección de gestión de personas. no clicar boton inscribirse. hacerlo a través de la web cpen.,Navarra - España,04/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Navarra
Auxiliar clínica dental,Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Navarra
Ayudante educativo-a para centro ocupacional,Navarra - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra
"Administrador-a wintel sccm, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Valet - aparcacoches en hotel,Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Navarra
Teleoperador-a de atención al cliente (horario irregular),Navarra - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Navarra
"Ingeniero-a fullstack java-angular, 100% en remoto",España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Arquitecto .net - inglés alto, 100% en remoto",España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Administrativo contable en centro residencial,Granada - Andalucia - España,04/04/2025,21.000 - 23.999 Primera etapa de educación secundaria…,NA,21000-23999,21000,23999,22,SI,NA
Administrativo-a,Madrid - España,04/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Madrid
"Desarrollador-a senior fullstack, presencial",Barcelona - Cataluña - España,04/04/2025,30.000 - 48.000,Sin estudios,30000-48000,30000,48000,39,SI,Cataluña
"Consultor-a bmc discovery, 100% en remoto",España,04/04/2025,48.000 - 54.000,Sin estudios,48000-54000,48000,54000,51,SI,NA
"Consultor-a sap hcm, 100% en remoto",España,04/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,NA
"Data governance - ibm, madrid",Madrid - España,04/04/2025,36.000 - 42.000,Enseñanzas universitarias de grado,36000-42000,36000,42000,39,SI,Madrid
"Desarrollo full-stack (.net - angular), madrid",Madrid - España,04/04/2025,27.000 - 42.000,Sin estudios,27000-42000,27000,42000,34,SI,Madrid
"Técnico de redes, hibrido",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Operario-a de producción,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
"Validation lead, hessen",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Product owner, gotlands län",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Enterprise architect, london",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Operario-a de manufactura en salinas (alicante),Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
"Ingeniero de desarrollo electrónico, bizkaia",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Senior fullstack node aws (inglés), hibrido",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
"Qa tester (murex testing), hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Tech lead azure databricks (inglés), 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
"Programador front angular, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Ignite technical program manager, republika bulgariya",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
"Programador powercenter- amazon redshift, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Senior system programmer ims, noord-holland",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Field support engineer, london",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Consultor sap datasphere (sap bo-bw), españa",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
"Software engineer spark scala, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Ingeniero-a programador-a angular, 100% en remoto",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Operador-a de red de nivel i,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Desarrollador-a power apps, 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
"Analista ciberseguridad, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Gerente de cuentas junior, hibrido",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
