Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Jefes de equipo de taller de vehículos,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
1 controlador-a de accesos,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Albañil oficial 1ª,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Camareros, en general",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Dependiente-a,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Instaladores electricistas, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Docente recuperacion puntos o permiso o licencia de conduccion,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Conductor autobus,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Carpinteros de aluminio, metálico y pvc",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Vigilantes de seguridad,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Teleoperador@ con discapacidad para tramitación de citas. alcobendas.,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo-a (ref.:2293),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Fisioterapeutas, en general",Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Cocineros-as en general.,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Administrativo-a (ref. 2292),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Inspector médico en bilbao. vacante. 3 puestos. pl3 y superación de prueba,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Camareros, en general",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar de enfermería,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Oficial de mantemiento,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Enfermeros de cuidados generales,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Raseador-a,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
2 cocineros para el sepad en plasencia,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Cocineros, en general",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camarero-a (ref.2288),Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Auxiliares de enfermería,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Enfermero-a,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
