Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Almeria - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Marmitones,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Técnico-a en gestión y desarrollo de proyectos informáticos,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Asistentes domiciliarios,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Ayudante de cocina (ref: 2276),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Formadores de formación para el empleo,Almeria - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Ayudante de camarero-a (ref. 2272),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Enfermeros de cuidados generales,Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Cocineros, en general",Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Técnico-a de logística,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Ayudante de cocina,Madrid - España,03/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Básico
Marineros de cubierta (excepto pesca),Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Auxiliar de enfermería (ref.2275),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Expendedores de combustible,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Peones de la construcción de edificios,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
1 delineante,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Jefes de máquinas de buque mercante,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Universidad
Telefonista para emisora de taxi,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Aragon,2025-04-03,abril,FP/Bachiller
Educador-a social,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Cocinero, municipio trescasas",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Oferta oficial de mantenimiento eléctrico para torrejón de ardoz,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Esteticistas,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Consultoria en acción climática y energía,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Universidad
Soldadores mig-mag-semiautomática,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Técnicos de laboratorio sanitario, en general",Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Escayolista. escayola arabe.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Mecánicos-ajustadores de motocicletas y ciclomotores,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Técnicos en sistemas microinformáticos,Cadiz - Andalucia - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,NA
Instalador-a electricista,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Enfermeros de cuidados generales,Granada - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
Enfermeros de cuidados generales,Huelva - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
Work-location,Lleida - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Enfermero- enfermera,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Carrocero-a,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Cocineros de barco,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Enfermeros de cuidados generales,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Primeros oficiales de puente de buques mercantes,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Doctorado
Engrasadores de máquinas de barcos,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Monitores y-o animadores deportivos,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Conductor -a camión transporte especial-cid (el burgo de ebro),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Almeria - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Buzos especialistas en salvamento,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Formadores de formación para el empleo,Sta.cruz de Tenerife - Canarias - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Universidad
Patrones de buques mercantes,Cadiz - Andalucia - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,NA
Técnico-a esteticien - masajista de spa de hotel 5* (ref. 2277),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Oficial 1ª encofrador (ref: 042025001885),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Operario-a de carga,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,FP/Bachiller
Terapeuta ocupacional,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Ayudante de cocina, trescasas",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Chofer camión,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Peones de la construcción de edificios,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Otros
Auxiliares de geriatría,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Cocinero-a pedrola,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Técnicos medios en ciencias matemáticas,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Limpiador-a,Cuenca - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
1 investigador-a predoctoral,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-03,abril,Otros
Profesor de ciencias con inglés e euskera,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,NA
Peon-a forestal (informador-a micológico-a) (empleo público),Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Entrenador-a lucha libre,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Formador-a para curso auxiliar de eventos,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
"Recepcionistas-telefonistas en oficinas, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Charcuteros-as zona centro de asturias- 3 puestos (ref. 2279),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Oficial electricista,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Formadores de formación para el empleo,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Doctorado
"Conductores de furgoneta, hasta 3,5 t.",Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Terapeutas ocupacionales,Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Fisioterapeutas, en general",Huelva - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Albañil oficial 1ª,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Profesor matemáticas educación secundaria,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Peón de servicios múltiples (empleo público),Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Albañiles of. 1ª (cid).,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
"Auxiliar administrativo de gestoría. contrato indefinido, jornada parcial de 25 horas a la semana.",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Operador de grúa torre,Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Administrativo-a,Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Carpinteros de aluminio, metálico y pvc",Granada - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Delineante (ett),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Ayudante de camarero-a (ref: 2278),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Monitores de mantenimiento físico,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Universidad
"Programador frontend angular, presencial",Ciudad Real - Castilla la Mancha - España,03/04/2025,21.000 - 27.000,Sin estudios,21000-27000,21000,27000,24,SI,Castilla la Mancha,2025-04-03,abril,Sin estudios
Encargada-o de limpieza,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Cocinero-a - palladium hotel palmyra,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Ayudante de pastelería y panadería( ref: 04 2025 001004),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Auxiliar servicio limpieza (asl). (27h) (zona la sagrera) ref sxsdl,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Básico
Logopeda en atención temprana,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
"Jefe-a de proyecto de software, 100% en remoto",España,03/04/2025,39.000 - 42.000,Doctorado universitario.,39000-42000,39000,42000,40,SI,NA,2025-04-03,abril,Doctorado
Ingeniero-a de diseño,Navarra - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Otros
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Cuidador-a de mujeres con discapacidad (turno fines de semana),Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Carpintero-montador muebeles madera,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Trabajador-a social,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
"Responsable servicio workplace, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Universidad
Comercial,Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,FP/Bachiller
Técnico-a de compras (contrata ett),Girona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Universidad
Encargado-a de obras,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Cuidador-a - monitor-a,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Sin estudios
Administrativo-a - comercial,Navarra - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Sin estudios
Camarero-a,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Personal atención telefónica,Valencia - Comunidad Valenciana - España,03/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-03,abril,Universidad
Técnico hardware y software,Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,FP/Bachiller
"Técnico-a de i+d ""ayudas para la contratación del personal investigador y tecnológico”",Navarra - España,03/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,FP/Bachiller
Auxiliar de enfermería en centro salud mental,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
Auxiliar educativo-a,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de primer…,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
"Desarrollador-a python, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA,2025-04-03,abril,Otros
Comercial de ventas b2b fijo+comisiones sin techo,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Canarias,2025-04-03,abril,Básico
Personal técnico en experimentación. no clicar botón inscribirse. hacerlo a través web cpen.,Navarra - España,03/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Navarra,2025-04-03,abril,Universidad
"Consultor-a de producto - sap-po, 100% en remoto",España,03/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA,2025-04-03,abril,Sin estudios
Técnico-a de laboratorio (contrata ett),Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Sin estudios
Montador-a ajustador-a de componentes mecánicos (ref. 1918),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Coordinador-a equipo de ventas - call center,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Básico
Empleado-a del hogar (ref. 04 2025 001591),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Cocinero-a colectividades ref. sccnr,Madrid - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Sin estudios
Operario-a de lavandería industrial,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Mozo-a y administrativo-a de almacén en martorell,Barcelona - Cataluña - España,03/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,14000-17999,14000,17999,16,SI,Cataluna,2025-04-03,abril,Universidad
Tornero-a cnc (ref. 1913),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Oferta pública: auxiliar de cocina.,Granada - Andalucia - España,03/04/2025,1.727,Enseñanzas universitarias de primer…,1727,1727,NA,21,SI,Andalucia,2025-04-03,abril,Universidad
Oferta privada: peón de mantenimiento.,Cadiz - Andalucia - España,03/04/2025,1.184,Enseñanzas universitarias de grado,1184,1184,NA,14,SI,Andalucia,2025-04-03,abril,Universidad
Auxiliar administrativo-a departamento de recursos humanos,Valencia - Comunidad Valenciana - España,03/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-03,abril,NA
Due-enfermera-o para residencia de mayores,Granada - Andalucia - España,03/04/2025,1.500,Enseñanzas universitarias oficiales de…,1500,1500,NA,18,SI,Andalucia,2025-04-03,abril,Universidad
Oferta publica: tecnico-a a2 uca,Cadiz - Andalucia - España,03/04/2025,2.751,Enseñanzas universitarias de 1 er y 2º…,2751,2751,NA,33,SI,Andalucia,2025-04-03,abril,Universidad
Oferta pública: técnico-a en educación infantil para centro de educación infantil - 1 puesto -…,Granada - Andalucia - España,03/04/2025,1.200 Primera etapa de educación secundaria…,NA,1200,1200,NA,14,SI,Andalucia,2025-04-03,abril,NA
Jefe-a de sección comercial,Sevilla - Andalucia - España,03/04/2025,2.841,Otros tipos de formación,2841,2841,NA,34,SI,Andalucia,2025-04-03,abril,Otros
Oferta pública: médico-a (grupo a1) laboral temporal por sustitución,Granada - Andalucia - España,03/04/2025,3.359,Enseñanzas universitarias de 1 er y 2º…,3359,3359,NA,40,SI,Andalucia,2025-04-03,abril,Universidad
Restaurador-a ( vi convenio personal laboral junta de andalucia) conservadores de museos y galerías…,Sevilla - Andalucia - España,03/04/2025,2.834 Programas de formación e inserción…,NA,2834,2834,NA,34,SI,Andalucia,2025-04-03,abril,NA
Oferta pública: personal limpieza edificios públicos - 1 puesto - duracíón estimada 90 días -…,Granada - Andalucia - España,03/04/2025,906,Enseñanzas universitarias de primer…,906,906,NA,11,SI,Andalucia,2025-04-03,abril,Universidad
Terapeuta ocupacional,Jaen - Andalucia - España,03/04/2025,1.253,Enseñanzas universitarias de grado,1253,1253,NA,15,SI,Andalucia,2025-04-03,abril,Universidad
Terapeuta ocupacional,Malaga - Andalucia - España,03/04/2025,727,Enseñanzas universitarias de grado,727,727,NA,9,SI,Andalucia,2025-04-03,abril,Universidad
Fisioterapeuta para residencia de mayores,Granada - Andalucia - España,03/04/2025,850,Otros tipos de formación,850,850,NA,10,SI,Andalucia,2025-04-03,abril,Otros
"Oferta pública: docente programa de empleo y formación. certificado de profesionalidad ""actividades…",Granada - Andalucia - España,03/04/2025,1.500,Enseñanzas universitarias de primer…,1500,1500,NA,18,SI,Andalucia,2025-04-03,abril,Universidad
Responsable de proyecto,Valencia - Comunidad Valenciana - España,03/04/2025,24.000 - 29.999 Primera etapa de educación secundaria…,NA,24000-29999,24000,29999,27,SI,Comunidad Valenciana,2025-04-03,abril,NA
Enfermero-a,Huelva - Andalucia - España,03/04/2025,2.679,Enseñanzas universitarias de grado,2679,2679,NA,32,SI,Andalucia,2025-04-03,abril,Universidad
Limpiador-a. ref slmpd,Valencia - Comunidad Valenciana - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Comunidad Valenciana,2025-04-03,abril,Básico
"Desarrollador-a powerapps, hibrido",Sevilla - Andalucia - España,03/04/2025,24.000 - 36.000,Otros tipos de formación,24000-36000,24000,36000,30,SI,Andalucia,2025-04-03,abril,Otros
"Adobe aep, zaragoza",Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Project manager con python, españa",España,03/04/2025,30.000 - 39.000,Enseñanzas universitarias oficiales de…,30000-39000,30000,39000,34,SI,NA,2025-04-03,abril,Universidad
Oferta pública: director programa de empleo y formación. certificado de profesionalidad…,Granada - Andalucia - España,03/04/2025,1.650,Enseñanzas universitarias oficiales de…,1650,1650,NA,20,SI,Andalucia,2025-04-03,abril,Universidad
Operador-a montador-a de video,Sevilla - Andalucia - España,03/04/2025,1.254 En prácticas,Enseñanzas universitarias oficiales de…,1254,1254,NA,15,SI,Andalucia,2025-04-03,abril,Universidad
"Devops engineer, republika bulgariya",Bulgaria,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NO,NA,2025-04-03,abril,Otros
"Splunk administrator, hibrido",Madrid - España,03/04/2025,48.000 - 72.000,Otros tipos de formación,48000-72000,48000,72000,60,SI,Madrid,2025-04-03,abril,Otros
"Programador java linux grafana ciam, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,FP/Bachiller
