Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
"Senior system programmer ims, noord-holland",27,NA,NA,abril,Otros,Presencial
"Field support engineer, london",27,NA,NA,abril,Otros,Presencial
"Consultor sap datasphere (sap bo-bw), españa",16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Software engineer spark scala, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Ingeniero-a programador-a angular, 100% en remoto",32,SI,Aragon,abril,Sin estudios,Remoto
Operador-a de red de nivel i,32,SI,Madrid,abril,Sin estudios,Presencial
"Desarrollador-a power apps, 100% en remoto",46,SI,NA,abril,Sin estudios,Remoto
"Analista ciberseguridad, 100% en remoto",32,SI,Andalucia,abril,Sin estudios,Remoto
"Gerente de cuentas junior, hibrido",16,SI,Comunidad Valenciana,abril,Sin estudios,Híbrido
"Consultor-a funcional - pasarela de pago, hibrido",27,NA,NA,abril,Otros,Híbrido
"Arquitecto-a data, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Desarrollador-a bi, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Techno functional consultant, west midlands",16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Security specialist (ciso), 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Administrador-a de sistemas, presencial",32,SI,Aragon,abril,Sin estudios,Presencial
"Cloud engineer, 100% en remoto",32,SI,Madrid,abril,Sin estudios,Remoto
"Programador-a python, 100% en remoto",46,SI,NA,abril,Sin estudios,Remoto
2 agentes comerciales de seguros(ref.8643).,32,SI,Andalucia,abril,Sin estudios,Presencial
"Integrations manager, republika bulgariya",16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Operador-a de red nivel i,27,NA,NA,abril,Otros,Presencial
"Scrum master (inglés avanzado), 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Técnico-a cableado, presencial",27,NA,NA,abril,Otros,Presencial
"Product owner (data warehouse), utrecht",16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Ingeniero-a de software, hibrido",27,NA,NA,abril,Otros,Híbrido
"It specialist con inglés, madrid",32,SI,Aragon,abril,Sin estudios,Presencial
Personal de limpieza con discapacidad,32,SI,Madrid,abril,Sin estudios,Presencial
Enfermeros especialistas en enfermería geriátrica. madrid.,46,SI,NA,abril,Sin estudios,Presencial
"Devops engineer (jenkins-gitlab), hibrido",32,SI,Andalucia,abril,Sin estudios,Híbrido
"Consultor-a senior sap subvenciones, 100% en remoto",16,SI,Comunidad Valenciana,abril,Sin estudios,Remoto
"Programadores junior-senior .net-angular, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Backend senior java, hibrido",27,NA,NA,abril,Otros,Híbrido
"Data analyst, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Qa tester - banca (temenos core), 100% en remoto",16,SI,Castilla la Mancha,abril,FP/Bachiller,Remoto
"Analista programador-a cobol, málaga",27,NA,NA,abril,Otros,Presencial
"Analista pro. cobol cics db2 jcl, madrid",32,SI,Aragon,abril,Sin estudios,Presencial
"Programador senior cobol, 100% en remoto",32,SI,Madrid,abril,Sin estudios,Remoto
"Sc cleared data engineer, london",46,SI,NA,abril,Sin estudios,Presencial
"Consultor cognos, 100% en remoto",32,SI,Andalucia,abril,Sin estudios,Remoto
"Certified automation tester, groningen",16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
"Ingeniero-a de ciberseguridad, madrid",27,NA,NA,abril,Otros,Presencial
"Desarrollador c++ (junior), gipuzkoa",27,NA,NA,abril,Otros,Presencial
"Programador senior java backend, 100% en remoto",27,NA,NA,abril,Otros,Remoto
"Programador de microservicios, 100% en remoto",16,SI,Castilla la Mancha,abril,FP/Bachiller,Remoto
